CHROM,BIN_START,BIN_END,N_VARIANTS,PI,site,year,host_species
singlecopy_cds_65,1001,2000,1,0.000272177,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_70,1,1000,4,0.000780985,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_72,1,1000,13,0.0027621,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_72,1001,2000,4,0.000852823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_73,1,1000,9,0.00156692,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_74,1,1000,4,0.000653531,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_74,1001,2000,3,0.000911619,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_78,1,1000,6,0.00172199,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_78,1001,2000,9,0.00158707,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_79,1,1000,5,0.00121645,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_79,1001,2000,6,0.00125015,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_80,1,1000,11,0.00236174,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_80,1001,2000,9,0.00169153,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_82,1,1000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_82,1001,2000,1,0.000209703,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_83,1,1000,2,0.000524258,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_83,1001,2000,3,0.000300403,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_84,1,1000,5,0.00122048,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_84,1001,2000,1,5.84749e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_86,1,1000,12,0.00477823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_89,1,1000,2,0.000334677,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_90,1,1000,9,0.00197283,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_90,1001,2000,7,0.00171169,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_94,1,1000,5,0.00144822,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_94,1001,2000,3,0.000987903,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_96,1,1000,2,0.000120983,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_96,1001,2000,2,0.000586694,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_98,1,1000,1,0.000314516,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_98,1001,2000,5,0.00115753,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_99,1,1000,13,0.00237176,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_103,1,1000,7,0.00122797,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_103,1001,2000,1,0.000177481,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_104,1,1000,1,0.000443548,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_104,1001,2000,4,0.00103629,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_106,1,1000,3,0.000272384,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_108,1,1000,3,0.000748076,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_112,1,1000,4,0.000653226,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_112,1001,2000,1,0.000175403,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_113,1,1000,5,0.00103654,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_114,1,1000,2,0.000610962,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_114,1001,2000,2,0.000183679,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_115,1,1000,1,0.000104864,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_116,1,1000,8,0.00232908,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_119,1,1000,6,0.00157397,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_119,1001,2000,4,0.00155444,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_120,1,1000,7,0.00167985,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_121,1,1000,22,0.00576579,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_123,1,1000,6,0.000762472,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_123,1001,2000,4,0.000742118,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_123,2001,3000,5,0.000837195,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_123,3001,4000,5,0.000361296,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_124,1,1000,2,0.00103024,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_125,1,1000,4,0.000518145,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_127,1,1000,17,0.00576684,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_127,1001,2000,4,0.00116547,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_128,1,1000,5,0.00122207,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_128,1001,2000,5,0.00121774,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_129,1,1000,3,0.000875316,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_129,1001,2000,4,0.0008125,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_130,1,1000,3,0.000358871,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_131,1,1000,7,0.00169779,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_131,1001,2000,7,0.00130444,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_134,1,1000,11,0.00163327,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_136,1,1000,1,0.000175403,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_136,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_139,1,1000,13,0.00236174,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_139,1001,2000,2,0.000288306,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_140,1,1000,2,0.000538306,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_144,1,1000,9,0.00216586,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_146,1,1000,1,0.000443548,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_147,1,1000,5,0.00114141,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_147,1001,2000,1,0.00012106,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_148,1,1000,5,0.000542339,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_148,1001,2000,1,0.000443548,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_151,1,1000,9,0.00262097,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_153,1,1000,3,0.000252501,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_156,1,1000,6,0.00113635,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_156,1001,2000,1,0.000314516,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_158,1,1000,13,0.00218104,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_158,1001,2000,1,0.000112917,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_166,1,1000,17,0.00441762,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_166,1001,2000,3,0.000330805,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_167,1,1000,6,0.00138525,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_173,1,1000,6,0.000905465,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_173,1001,2000,4,0.00103868,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_175,1,1000,4,0.000881265,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_176,1,1000,6,0.0016496,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_176,1001,2000,3,0.000649194,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_181,1,1000,5,0.0013871,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_181,1001,2000,3,0.000467742,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_183,1,1000,1,0.000225806,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_183,1001,2000,4,0.00137702,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_184,1,1000,17,0.00427926,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_184,1001,2000,4,0.000780242,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_185,1,1000,11,0.0016738,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_186,1,1000,6,0.0014219,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_187,1,1000,4,0.00104852,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_187,1001,2000,1,7.26255e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_188,1,1000,1,0.000417339,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_189,1,1000,3,0.000665323,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_189,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_190,1,1000,3,0.000409274,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_191,1,1000,19,0.00475609,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_193,1,1000,9,0.00156048,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_193,1001,2000,2,0.000925403,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_195,1,1000,8,0.00190323,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_195,1001,2000,1,0.000272177,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_196,1,1000,4,0.000794642,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_197,1,1000,9,0.00318404,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_199,1,1000,2,0.000895161,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_200,1,1000,4,0.0010121,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_200,1001,2000,5,0.00100428,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_202,1,1000,1,0.000514113,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_203,1,1000,10,0.00163347,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_205,1,1000,5,0.00110685,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_205,1001,2000,4,0.000830645,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_207,1,1000,5,0.00162579,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_208,1,1000,5,0.000824597,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_208,1001,2000,3,0.000241965,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_209,1,1000,6,0.00125,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_210,1,1000,9,0.00159899,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_210,1001,2000,6,0.00152823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_212,1,1000,9,0.00167193,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_214,1,1000,12,0.00277218,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_214,1001,2000,4,0.000447746,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_217,1,1000,4,0.00113306,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_217,1001,2000,3,0.0001875,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_219,1,1000,6,0.000941532,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_222,1,1000,1,0.000314516,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_226,1,1000,1,0.000403275,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_226,1001,2000,1,5.84749e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_227,1,1000,2,0.000371184,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_227,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_230,1,1000,5,0.00130444,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_230,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_236,1,1000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_237,1,1000,9,0.00191954,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_237,1001,2000,4,0.000838916,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_238,1,1000,1,0.000139161,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_239,1,1000,8,0.00260728,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_239,1001,2000,3,0.000221907,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_240,1,1000,6,0.000721774,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_241,1,1000,30,0.00874266,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_243,1,1000,5,0.00168448,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_243,1001,2000,1,0.000163327,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_245,1,1000,7,0.00247782,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_245,1001,2000,1,0.000387097,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_246,1,1000,4,0.000768422,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_246,1001,2000,1,0.000352823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_248,1,1000,11,0.00309023,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_248,1001,2000,1,0.000514113,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_249,1,1000,6,0.00156048,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_249,1001,2000,2,0.000183468,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_250,1,1000,9,0.00209198,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_252,1,1000,4,0.000530242,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_254,1,1000,6,0.0011718,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_256,1,1000,7,0.00147214,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_257,1,1000,6,0.000459843,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_257,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_260,1,1000,4,0.000731945,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_260,1001,2000,2,0.0005707,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_261,1,1000,5,0.00124828,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_261,1001,2000,1,0.000112917,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_265,1,1000,6,0.0013671,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_266,1,1000,19,0.00563653,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_266,1001,2000,2,0.000635081,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_267,1,1000,4,0.00184925,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_268,1,1000,2,0.000129248,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_268,1001,2000,1,0.000387097,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_270,1,1000,26,0.00631913,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_270,1001,2000,4,0.000727823,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_271,1,1000,5,0.000941648,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_271,1001,2000,1,0.000139161,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_273,1,1000,22,0.00538842,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_273,1001,2000,2,0.000241935,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_274,1,1000,3,0.00030044,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_274,1001,2000,5,0.000703796,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_274,2001,3000,1,0.000381095,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_275,1,1000,3,0.00037723,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_276,1,1000,1,0.000120968,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_278,1,1000,11,0.00261852,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_278,1001,2000,2,0.000838999,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_280,1,1000,4,0.00034286,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_281,1,1000,4,0.000910247,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_281,1001,2000,6,0.000752109,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_283,1,1000,4,0.00123201,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_285,1,1000,13,0.00162619,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_285,1001,2000,2,0.000580788,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_289,1,1000,6,0.00206724,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_290,1,1000,6,0.00105847,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_292,1,1000,3,0.000649866,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_292,1001,2000,3,0.000756048,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_294,1,1000,12,0.0032145,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_296,1,1000,12,0.00272437,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_296,1001,2000,3,0.00088339,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_297,1,1000,7,0.000911402,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_297,1001,2000,6,0.000834677,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_297,2001,3000,2,0.000108923,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_298,1,1000,14,0.00243952,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_298,1001,2000,3,0.0010707,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_299,1,1000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_299,1001,2000,3,0.000810484,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_300,1,1000,10,0.00207527,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_300,1001,2000,15,0.00297452,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_300,2001,3000,5,0.00131452,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_301,1,1000,13,0.00321169,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_302,1,1000,3,0.00018349,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_302,1001,2000,1,0.000225806,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_304,1,1000,3,0.000358871,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_307,1,1000,2,0.000449597,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_307,1001,2000,1,0.000175403,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_311,1,1000,10,0.00191092,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_311,1001,2000,2,0.000830645,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_312,1,1000,3,0.000288377,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_312,1001,2000,2,0.000284309,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_313,1,1000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_313,1001,2000,1,0.000112917,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_314,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_315,1,1000,3,0.000552419,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_315,1001,2000,3,0.000762097,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_316,1,1000,6,0.000805182,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_318,1,1000,15,0.00600605,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_318,1001,2000,9,0.004,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_319,1,1000,6,0.00126457,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_322,1,1000,6,0.000592888,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_322,1001,2000,4,0.000685484,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_327,1,1000,6,0.000839309,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_327,1001,2000,5,0.000735978,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_328,1,1000,2,0.000739919,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_329,1,1000,10,0.00251039,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_330,1,1000,4,0.000296444,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_330,1001,2000,3,0.000306693,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_332,1,1000,6,0.000772272,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_333,1,1000,7,0.00176411,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_333,1001,2000,1,6.25e-05,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_334,1,1000,4,0.00167137,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_335,1,1000,3,0.000888076,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_337,1,1000,7,0.00119773,Site1_GZ,2020,Rhinolophus affinis
singlecopy_cds_338,1,1000,3,0.000350806,Site1_GZ,2020,Rhinolophus affinis
