sn1,sn2,mismatch,length,vsname_abbr
R2109032375,R2109032455,102,919,CoV-4
R2109032375,R2109032458,115,919,CoV-4
R2109032375,R2109032466,109,919,CoV-4
R2109032375,R2109032520,93,919,CoV-4
R2109032375,R2109032536,105,919,CoV-4
R2109032388,R2109032392,121,919,CoV-4
R2109032388,R2109032394,146,919,CoV-4
R2109032388,R2109032402,91,919,CoV-4
R2109032388,R2109032410,65,919,CoV-4
R2109032388,R2109032411,92,919,CoV-4
R2109032388,R2109032432,107,919,CoV-4
R2109032388,R2109032448,85,919,CoV-4
R2109032388,R2109032454,128,919,CoV-4
R2109032388,R2109032455,110,919,CoV-4
R2109032388,R2109032458,124,919,CoV-4
R2109032388,R2109032466,118,919,CoV-4
R2109032388,R2109032520,98,919,CoV-4
R2109032388,R2109032536,114,919,CoV-4
R2109032392,R2109032394,92,919,CoV-4
R2109032392,R2109032402,122,919,CoV-4
R2109032392,R2109032410,72,919,CoV-4
R2109032392,R2109032411,123,919,CoV-4
R2109032392,R2109032432,100,919,CoV-4
R2109032392,R2109032448,30,919,CoV-4
R2109032392,R2109032454,33,919,CoV-4
R2109032392,R2109032455,30,919,CoV-4
R2109032392,R2109032458,31,919,CoV-4
R2109032392,R2109032466,31,919,CoV-4
R2109032392,R2109032520,127,919,CoV-4
R2109032392,R2109032536,67,919,CoV-4
R2109032394,R2109032402,166,919,CoV-4
R2109032394,R2109032410,123,919,CoV-4
R2109032394,R2109032411,167,919,CoV-4
R2109032394,R2109032432,102,919,CoV-4
R2109032394,R2109032448,66,919,CoV-4
R2109032394,R2109032454,71,919,CoV-4
R2109032394,R2109032455,62,919,CoV-4
R2109032394,R2109032458,68,919,CoV-4
R2109032394,R2109032466,68,919,CoV-4
R2109032394,R2109032520,170,919,CoV-4
R2109032394,R2109032536,75,919,CoV-4
R2109032402,R2109032410,27,919,CoV-4
R2109032402,R2109032411,1,919,CoV-4
R2109032402,R2109032432,146,919,CoV-4
R2109032402,R2109032448,84,919,CoV-4
R2109032402,R2109032454,129,919,CoV-4
R2109032402,R2109032455,120,919,CoV-4
R2109032402,R2109032458,124,919,CoV-4
R2109032402,R2109032466,119,919,CoV-4
R2109032402,R2109032520,9,919,CoV-4
R2109032402,R2109032536,149,919,CoV-4
R2109032410,R2109032411,28,919,CoV-4
R2109032410,R2109032432,100,919,CoV-4
R2109032410,R2109032448,60,919,CoV-4
R2109032410,R2109032454,80,919,CoV-4
R2109032410,R2109032455,75,919,CoV-4
R2109032410,R2109032458,76,919,CoV-4
R2109032410,R2109032466,77,919,CoV-4
R2109032410,R2109032520,34,919,CoV-4
R2109032410,R2109032536,99,919,CoV-4
R2109032411,R2109032432,147,919,CoV-4
R2109032411,R2109032448,85,919,CoV-4
R2109032411,R2109032454,130,919,CoV-4
R2109032411,R2109032455,121,919,CoV-4
R2109032411,R2109032458,125,919,CoV-4
R2109032411,R2109032466,120,919,CoV-4
R2109032411,R2109032520,10,919,CoV-4
R2109032411,R2109032536,150,919,CoV-4
R2109032432,R2109032448,73,919,CoV-4
R2109032432,R2109032454,91,919,CoV-4
R2109032432,R2109032455,74,919,CoV-4
R2109032432,R2109032458,88,919,CoV-4
R2109032432,R2109032466,83,919,CoV-4
R2109032432,R2109032520,153,919,CoV-4
R2109032432,R2109032536,47,919,CoV-4
R2109032448,R2109032454,2,919,CoV-4
R2109032448,R2109032455,0,919,CoV-4
R2109032448,R2109032458,0,919,CoV-4
R2109032448,R2109032466,0,919,CoV-4
R2109032448,R2109032520,88,919,CoV-4
R2109032448,R2109032536,35,919,CoV-4
R2109032454,R2109032455,2,919,CoV-4
R2109032454,R2109032458,2,919,CoV-4
R2109032454,R2109032466,2,919,CoV-4
R2109032454,R2109032520,134,919,CoV-4
R2109032454,R2109032536,46,919,CoV-4
R2109032455,R2109032458,0,919,CoV-4
R2109032455,R2109032466,0,919,CoV-4
R2109032455,R2109032520,124,919,CoV-4
R2109032455,R2109032536,32,919,CoV-4
R2109032458,R2109032466,0,919,CoV-4
R2109032458,R2109032520,129,919,CoV-4
R2109032458,R2109032536,43,919,CoV-4
R2109032466,R2109032520,124,919,CoV-4
R2109032466,R2109032536,38,919,CoV-4
R2109032520,R2109032536,156,919,CoV-4
