CHROM,BIN_START,BIN_END,N_VARIANTS,PI,site,year,host_species
lcl|NW_017738925.1_cds_XP_019582236.1_779,1,1000,7,0.00102699,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738926.1_cds_XP_019584158.1_902,1,1000,8,0.00150988,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738926.1_cds_XP_019584158.1_902,1001,2000,6,0.000602777,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738926.1_cds_XP_019584237.1_903,1,1000,2,9.28723e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738926.1_cds_XP_019584617.1_934,1,1000,3,0.000235616,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738927.1_cds_XP_019585299.1_1023,1,1000,8,0.0016161,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738927.1_cds_XP_019585299.1_1023,1001,2000,3,0.000196153,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738927.1_cds_XP_019585271.1_1037,1,1000,5,0.000835997,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738927.1_cds_XP_019585271.1_1037,1001,2000,5,0.00092912,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738929.1_cds_XP_019589515.1_1385,1,1000,7,0.000827172,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738929.1_cds_XP_019589860.1_1420,1,1000,8,0.00100266,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738929.1_cds_XP_019590029.1_1436,1,1000,10,0.000748935,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738929.1_cds_XP_019590029.1_1436,1001,2000,7,0.00171473,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738930.1_cds_XP_019590575.1_1521,1,1000,14,0.0019457,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738930.1_cds_XP_019590575.1_1521,1001,2000,4,0.000363464,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738930.1_cds_XP_019591116.1_1529,1,1000,8,0.00156953,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738930.1_cds_XP_019591116.1_1529,1001,2000,3,0.000907754,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738931.1_cds_XP_019592963.1_1677,1,1000,4,0.000534319,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738931.1_cds_XP_019593676.1_1764,1,1000,4,0.000689222,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738931.1_cds_XP_019593676.1_1764,1001,2000,2,0.000508549,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738932.1_cds_XP_019594560.1_1829,1,1000,6,0.00117742,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738932.1_cds_XP_019594790.1_1853,1,1000,11,0.00181745,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738933.1_cds_XP_019595901.1_1944,1,1000,6,0.000799399,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738933.1_cds_XP_019595700.1_2024,1,1000,8,0.000698133,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738933.1_cds_XP_019595700.1_2024,1001,2000,1,2.72083e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738933.1_cds_XP_019595775.1_2043,1,1000,3,0.000116514,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738934.1_cds_XP_019597722.1_2139,1,1000,3,0.000351526,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738935.1_cds_XP_019599299.1_2286,1,1000,13,0.00175327,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738936.1_cds_XP_019600988.1_2441,1,1000,4,0.000575445,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738936.1_cds_XP_019599913.1_2512,1,1000,4,0.000355853,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738937.1_cds_XP_019602103.1_2556,1,1000,7,0.0016939,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738937.1_cds_XP_019602103.1_2556,1001,2000,2,0.000313766,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738937.1_cds_XP_019602660.1_2596,1,1000,10,0.00134146,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738937.1_cds_XP_019603533.1_2693,1,1000,1,0.000328767,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738937.1_cds_XP_019603533.1_2693,1001,2000,9,0.00129252,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738938.1_cds_XP_019604345.1_2763,1,1000,30,0.00790859,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738938.1_cds_XP_019604345.1_2763,1001,2000,12,0.00276018,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738938.1_cds_XP_019603971.1_2782,1,1000,4,0.000286267,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738938.1_cds_XP_019603971.1_2782,1001,2000,6,0.000519839,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738938.1_cds_XP_019603971.1_2782,2001,3000,4,0.000607673,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738939.1_cds_XP_019605236.1_2849,1,1000,7,0.00112977,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738940.1_cds_XP_019606062.1_2895,1,1000,3,0.000488205,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738940.1_cds_XP_019606180.1_2921,1,1000,4,0.000855754,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738940.1_cds_XP_019606180.1_2921,1001,2000,2,0.000144026,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738940.1_cds_XP_019607178.1_3017,1,1000,3,0.000495935,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609486.1_3185,1,1000,27,0.010025,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609888.1_3227,1,1000,4,0.000555896,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609958.1_3230,1,1000,1,0.000284947,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609227.1_3235,1,1000,1,0.000468506,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609227.1_3235,1001,2000,6,0.00130763,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019610203.1_3261,1,1000,4,0.000839604,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019610203.1_3261,1001,2000,7,0.000698477,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019610430.1_3286,1001,2000,1,2.6454e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019610553.1_3292,1,1000,7,0.000496704,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019610553.1_3292,1001,2000,1,9.97719e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609067.1_3327,1,1000,4,0.000521094,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019610922.1_3340,1,1000,10,0.00213007,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611094.1_3350,1,1000,5,0.000861754,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611124.1_3370,1,1000,7,0.00192362,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611124.1_3370,1001,2000,8,0.00137729,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611124.1_3370,2001,3000,3,0.000449481,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611258.1_3373,1,1000,1,0.00018564,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609273.1_3379,1,1000,9,0.00144041,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609273.1_3379,1001,2000,8,0.00127056,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609273.1_3379,2001,3000,8,0.000941485,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019609273.1_3379,3001,4000,8,0.0010667,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611564.1_3407,1,1000,2,0.000315554,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611564.1_3407,1001,2000,2,7.97398e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611728.1_3424,1,1000,1,0.000136143,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019611862.1_3436,1,1000,3,0.000622441,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019566078.1_3630,1,1000,10,0.00228252,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019566078.1_3630,1001,2000,5,0.000832278,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019566593.1_3685,1,1000,48,0.0161893,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019566636.1_3686,1,1000,10,0.00123138,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738943.1_cds_XP_019566636.1_3686,1001,2000,6,0.000237752,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019567182.1_3718,1,1000,3,0.000201854,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019566881.1_3735,1,1000,5,0.000602603,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019566943.1_3737,1,1000,6,0.00100781,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019567407.1_3745,1,1000,6,0.00142501,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019567376.1_3748,1,1000,10,0.00187435,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019567513.1_3753,1,1000,3,0.000333812,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019567527.1_3756,1,1000,12,0.00236685,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019567527.1_3756,1001,2000,1,0.000111393,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019566823.1_3844,1,1000,15,0.00180327,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019566823.1_3844,1001,2000,10,0.00115723,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738944.1_cds_XP_019568656.1_3881,1,1000,13,0.00438812,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738945.1_cds_XP_019569878.1_3980,1,1000,4,0.000529223,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738945.1_cds_XP_019569892.1_3982,1,1000,3,0.000473651,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738945.1_cds_XP_019570373.1_4030,1,1000,13,0.00210989,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738946.1_cds_XP_019571004.1_4091,1,1000,10,0.000985167,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738946.1_cds_XP_019571004.1_4091,1001,2000,1,0.000182811,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738946.1_cds_XP_019570644.1_4107,1,1000,6,0.00103809,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738946.1_cds_XP_019570644.1_4107,1001,2000,7,0.000905088,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738946.1_cds_XP_019570644.1_4107,2001,3000,1,6.56607e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738946.1_cds_XP_019570644.1_4107,3001,4000,1,2.68312e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738947.1_cds_XP_019571748.1_4155,1,1000,5,0.000428889,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019573366.1_4283,1,1000,3,0.000395361,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019573643.1_4307,1,1000,3,0.000382574,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019573643.1_4307,1001,2000,11,0.00117011,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019573643.1_4307,2001,3000,3,0.00043187,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019574076.1_4358,1,1000,6,0.00103505,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019574125.1_4362,1,1000,5,0.000477846,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019574287.1_4381,1,1000,11,0.000976508,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738948.1_cds_XP_019574287.1_4381,1001,2000,9,0.00108857,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575697.1_4517,1,1000,2,0.000457726,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575697.1_4517,1001,2000,6,0.000582489,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575914.1_4541,1,1000,4,0.000621007,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575914.1_4541,1001,2000,14,0.00116221,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575914.1_4541,2001,3000,3,0.000332546,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575993.1_4547,1,1000,13,0.00259951,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738950.1_cds_XP_019575993.1_4547,1001,2000,2,0.000419122,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738951.1_cds_XP_019577291.1_4679,1,1000,7,0.0013487,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738951.1_cds_XP_019577291.1_4679,1001,2000,4,0.000752816,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738951.1_cds_XP_019577416.1_4696,1,1000,3,0.000647957,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738951.1_cds_XP_019577416.1_4696,1001,2000,1,9.06024e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578684.1_4817,1,1000,3,0.00058446,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578684.1_4817,1001,2000,3,0.000279452,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578825.1_4829,1,1000,12,0.00224536,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578825.1_4829,1001,2000,7,0.000903148,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578622.1_4831,1,1000,12,0.00136384,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578622.1_4831,1001,2000,4,0.000247763,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578937.1_4843,1,1000,3,0.000232984,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019578937.1_4843,1001,2000,3,0.000282011,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019579240.1_4910,1,1000,7,0.00138035,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019579240.1_4910,1001,2000,1,0.000119052,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738953.1_cds_XP_019579239.1_4911,1,1000,7,0.00166529,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579303.1_4985,1,1000,3,0.000425035,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579325.1_5004,1,1000,4,0.000350997,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579324.1_5008,1,1000,5,0.000676312,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579323.1_5009,1,1000,7,0.000979234,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579323.1_5009,1001,2000,3,0.000377203,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579381.1_5056,1,1000,3,0.000547323,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579265.1_5063,1,1000,5,0.000823179,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579403.1_5069,1,1000,5,0.000400813,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579399.1_5075,1,1000,8,0.000754541,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579399.1_5075,1001,2000,5,0.000914678,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579399.1_5075,2001,3000,1,2.56995e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579398.1_5077,1,1000,5,0.000833569,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579398.1_5077,1001,2000,4,0.000975433,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579398.1_5077,2001,3000,1,0.0001957,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579418.1_5090,1,1000,5,0.000389141,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579422.1_5092,1,1000,1,3.7342e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579419.1_5095,1,1000,5,0.00102497,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579431.1_5105,1,1000,2,0.000278363,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579434.1_5106,1,1000,4,0.000209192,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579434.1_5106,1001,2000,1,3.76999e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579453.1_5125,1,1000,13,0.00163465,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579453.1_5125,1001,2000,2,0.000571877,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579453.1_5125,2001,3000,1,0.000361616,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579469.1_5140,1,1000,3,0.000702996,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579480.1_5150,1,1000,9,0.00183149,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579480.1_5150,1001,2000,2,0.000485065,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579480.1_5150,2001,3000,3,0.000663823,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579551.1_5219,1,1000,6,0.000483723,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579554.1_5220,1,1000,6,0.000570485,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579554.1_5220,1001,2000,7,0.000621069,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579554.1_5220,2001,3000,10,0.00114745,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579554.1_5220,3001,4000,4,0.000232869,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579574.1_5240,1,1000,2,0.000290313,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579581.1_5247,1,1000,11,0.00214341,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579583.1_5250,1,1000,3,0.000263307,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579603.1_5272,1,1000,9,0.00108106,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738954.1_cds_XP_019579274.1_5281,1,1000,9,0.00161601,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738955.1_cds_XP_019579748.1_5402,1,1000,6,0.000471435,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738955.1_cds_XP_019579748.1_5402,1001,2000,2,0.000128456,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738955.1_cds_XP_019579675.1_5530,1,1000,1,0.000254248,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738955.1_cds_XP_019579887.1_5534,1,1000,4,0.000624511,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579924.1_5567,1,1000,5,0.00141026,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579924.1_5567,1001,2000,1,0.00032126,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579974.1_5585,1,1000,2,0.000119323,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579984.1_5593,1,1000,1,3.99633e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579988.1_5601,1,1000,1,5.21521e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579987.1_5602,1,1000,2,0.000814898,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579987.1_5602,1001,2000,1,7.59627e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580021.1_5632,1,1000,3,0.000236902,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580021.1_5632,1001,2000,1,1.35101e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580058.1_5666,1,1000,4,0.000741238,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580058.1_5666,1001,2000,6,0.000614927,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579937.1_5686,1,1000,6,0.00164066,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579937.1_5686,1001,2000,10,0.00162244,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580087.1_5705,1,1000,2,0.000102423,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580093.1_5710,1,1000,3,0.00027722,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580093.1_5710,1001,2000,4,0.000553611,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580211.1_5817,1,1000,5,0.000578665,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580216.1_5818,1,1000,4,0.000300884,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580231.1_5840,1,1000,6,0.00128757,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580231.1_5840,1001,2000,5,0.000401817,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019580231.1_5840,2001,3000,2,6.67963e-05,Site1_GZ,2020,Rhinolophus sinicus
lcl|NW_017738956.1_cds_XP_019579940.1_5841,1,1000,2,0.000144341,Site1_GZ,2020,Rhinolophus sinicus
